iter	Logloss
0	0.5794014578
1	0.4921345887
2	0.4301910672
3	0.382785971
4	0.354801085
5	0.3271841524
6	0.3057461727
7	0.2908762745
8	0.2785929431
9	0.2709584935
10	0.2620459937
11	0.2562594207
12	0.251215232
13	0.2464807317
14	0.2423083063
15	0.2381148145
16	0.2359686735
17	0.2336580365
18	0.2319296976
19	0.2297817402
20	0.2285250529
21	0.2262663998
22	0.2255063706
23	0.2245605854
24	0.2235060602
25	0.2226424792
26	0.2211539535
27	0.2195811578
28	0.2183860664
29	0.2179877294
30	0.2169494686
31	0.2161423717
32	0.2155624013
33	0.2145262196
34	0.2136876643
35	0.2128898682
36	0.2113898019
37	0.2109115328
38	0.2102998786
39	0.2098787499
40	0.209446899
41	0.2090027665
42	0.2083636621
43	0.2076063402
44	0.2065295754
45	0.2058567756
46	0.204939787
47	0.2045925903
48	0.2040116385
49	0.2037052632
50	0.203335423
51	0.2028570562
52	0.2018303501
53	0.2013936581
54	0.2010919485
55	0.2003768424
56	0.2000750832
57	0.1995939902
58	0.1992759198
59	0.1988998633
60	0.1986979129
61	0.1984758688
62	0.1978710258
63	0.1976614976
64	0.1973722893
65	0.1972158001
66	0.1967498205
67	0.196324547
68	0.1960001158
69	0.1953402696
70	0.1952238224
71	0.1949554912
72	0.1946534766
73	0.1942131725
74	0.1937695859
75	0.1932324862
76	0.1930665965
77	0.192900929
78	0.1923524439
79	0.1921632882
80	0.1918039292
81	0.1916798994
82	0.191447918
83	0.1909378132
84	0.1907638239
85	0.1905918671
86	0.1902148931
87	0.1900905287
88	0.1897537973
89	0.1895452579
90	0.189340228
91	0.189029573
92	0.1884068125
93	0.188172775
94	0.1878413004
95	0.1875534783
96	0.187259496
97	0.1869563847
98	0.18662402
99	0.1864160988
100	0.1858455157
101	0.1856929903
102	0.1853305612
103	0.1851661912
104	0.1849831562
105	0.1847663442
106	0.1846886851
107	0.1845072065
108	0.1844232829
109	0.1841603789
110	0.1839403614
111	0.1838813185
112	0.183651036
113	0.1834260388
114	0.1832230159
115	0.1829687963
116	0.1826402506
117	0.182313502
118	0.1821094276
119	0.1818660235
120	0.1816487041
121	0.1814397394
122	0.181233601
123	0.1809580009
124	0.1807487845
125	0.1805930321
126	0.1804214538
127	0.1803177257
128	0.1801375939
129	0.1799445195
130	0.1797380346
131	0.1794384004
132	0.179315105
133	0.1790857005
134	0.1788918387
135	0.1786360435
136	0.1784488816
137	0.1782944193
138	0.1781707047
139	0.1780123641
140	0.177892675
141	0.1777522478
142	0.1776039712
143	0.1773863385
144	0.1772740491
145	0.1770467589
146	0.1769893855
147	0.1767314564
148	0.176414208
149	0.1762297591
150	0.1760655125
151	0.1758951237
152	0.1757100766
153	0.1756610725
154	0.1754550315
155	0.1752314857
156	0.1750576355
157	0.1747951761
158	0.1746120495
159	0.1744714676
160	0.1743078053
161	0.1741945315
162	0.1741861498
163	0.1740025581
164	0.1738357381
165	0.1736782556
166	0.1734953378
167	0.1732586381
168	0.173034782
169	0.1728453275
170	0.1727525692
171	0.1725918323
172	0.1724312991
173	0.1723336387
174	0.1722726238
175	0.1722191583
176	0.1721493193
177	0.1719480829
178	0.1718575547
179	0.1716924208
180	0.1713921021
181	0.1712675435
182	0.1710359635
183	0.1708617253
184	0.1705643733
185	0.1704342536
186	0.1703331576
187	0.170156243
188	0.1699827908
189	0.1697294596
190	0.1695598387
191	0.1693566817
192	0.1691287034
193	0.1689335071
194	0.1687521083
195	0.16857328
196	0.1684645112
197	0.1682923551
198	0.1681747566
199	0.1680607521
