iter	Passed	Remaining
0	16	16936
1	31	15470
2	44	14940
3	57	14322
4	68	13591
5	78	12926
6	87	12432
7	97	12110
8	107	11813
9	117	11586
10	127	11422
11	136	11266
12	147	11199
13	157	11123
14	167	11030
15	177	10925
16	187	10817
17	196	10728
18	206	10639
19	215	10556
20	225	10495
21	234	10442
22	244	10381
23	254	10332
24	263	10283
25	273	10243
26	283	10207
27	292	10161
28	302	10124
29	312	10098
30	322	10095
31	333	10076
32	343	10069
33	354	10085
34	365	10075
35	376	10077
36	387	10078
37	397	10071
38	408	10077
39	420	10088
40	430	10057
41	440	10054
42	451	10044
43	460	10013
44	471	9998
45	481	9981
46	491	9961
47	501	9937
48	510	9905
49	519	9878
50	529	9857
51	539	9834
52	549	9812
53	558	9790
54	568	9772
55	578	9746
56	588	9728
57	597	9703
58	607	9683
59	616	9654
60	625	9636
61	636	9631
62	646	9622
63	656	9602
64	666	9584
65	675	9565
66	685	9547
67	694	9525
68	705	9514
69	715	9502
70	725	9486
71	734	9472
72	745	9462
73	754	9444
74	764	9430
75	774	9416
76	783	9397
77	793	9382
78	803	9366
79	813	9357
80	823	9341
81	834	9340
82	843	9323
83	854	9320
84	866	9327
85	876	9315
86	887	9314
87	898	9309
88	908	9296
89	919	9293
90	930	9292
91	940	9279
92	951	9277
93	962	9272
94	971	9258
95	981	9241
96	990	9224
97	1001	9216
98	1011	9204
99	1021	9189
100	1030	9176
101	1040	9159
102	1050	9148
103	1060	9132
104	1069	9119
105	1079	9104
106	1089	9094
107	1099	9081
108	1109	9068
109	1119	9061
110	1129	9048
111	1139	9033
112	1149	9020
113	1158	9005
114	1168	8988
115	1177	8974
116	1187	8959
117	1196	8944
118	1206	8928
119	1215	8913
120	1225	8900
121	1235	8888
122	1244	8873
123	1254	8861
124	1263	8847
125	1273	8834
126	1283	8820
127	1292	8805
128	1302	8794
129	1313	8790
130	1323	8781
131	1333	8767
132	1343	8758
133	1353	8745
134	1363	8735
135	1373	8725
136	1383	8711
137	1393	8704
138	1402	8690
139	1413	8680
140	1423	8669
141	1432	8655
142	1442	8647
143	1452	8633
144	1462	8623
145	1472	8610
146	1481	8596
147	1491	8585
148	1501	8573
149	1510	8560
150	1520	8547
151	1530	8535
152	1539	8522
153	1549	8510
154	1558	8498
155	1568	8487
156	1578	8478
157	1589	8468
158	1598	8457
159	1609	8448
160	1619	8438
161	1629	8431
162	1640	8422
163	1649	8410
164	1659	8399
165	1669	8386
166	1678	8372
167	1688	8360
168	1697	8346
169	1706	8333
170	1716	8322
171	1726	8309
172	1736	8299
173	1745	8286
174	1755	8276
175	1765	8264
176	1774	8252
177	1784	8239
178	1793	8228
179	1804	8219
180	1813	8205
181	1823	8196
182	1833	8183
183	1843	8174
184	1853	8164
185	1862	8152
186	1873	8144
187	1882	8132
188	1893	8125
189	1903	8116
190	1913	8103
191	1923	8094
192	1933	8085
193	1943	8073
194	1953	8065
195	1963	8054
196	1973	8045
197	1984	8036
198	1994	8026
199	2005	8020
200	2015	8010
201	2025	8002
